Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"HAASE, Günther",GER,Men,10m platform,M,Bronze
Aquatics,Diving,"LEE, Samuel",USA,Men,10m platform,M,Gold
Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,10m platform,M,Silver
Aquatics,Diving,"STOVER-IRWIN, Juno Roslays",USA,Women,10m platform,W,Bronze
Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,10m platform,W,Gold
Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,10m platform,W,Silver
Aquatics,Diving,"CLOTWORTHY, Robert Lynn",USA,Men,3m springboard,M,Bronze
Aquatics,Diving,"BROWNING, David Grieg Jr.",USA,Men,3m springboard,M,Gold
Aquatics,Diving,"ANDERSON, Miller Altman",USA,Men,3m springboard,M,Silver
Aquatics,Diving,"OLSEN-JENSEN, Zoe-Ann",USA,Women,3m springboard,W,Bronze
Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,3m springboard,W,Gold
Aquatics,Diving,"MOREAU, Madeleine",FRA,Women,3m springboard,W,Silver
Aquatics,Swimming,"TAYLOR, Jack George Neil",USA,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"OYAKAWA, Yoshinobu",USA,Men,100m backstroke,M,Gold
Aquatics,Swimming,"BOZON, Gilbert",FRA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"STEWART, Jean",NZL,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"HARRISON, Joan Cynthia",RSA,Women,100m backstroke,W,Gold
Aquatics,Swimming,"WIELEMA, Geertje",NED,Women,100m backstroke,W,Silver
Aquatics,Swimming,"LARSSON, Göran",SWE,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"SCHOLES, Clark Currie",USA,Men,100m freestyle,M,Gold
Aquatics,Swimming,"SUZUKI, Hiroshi",JPN,Men,100m freestyle,M,Silver
Aquatics,Swimming,"TEMES, Judith",HUN,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"SZÖKE, Katalin",HUN,Women,100m freestyle,W,Gold
Aquatics,Swimming,"TERMEULEN, Johanna Maria",NED,Women,100m freestyle,W,Silver
Aquatics,Swimming,"OKAMOTO, Tetsuo",BRA,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"HASHIZUME, Shiro",JPN,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"KLEIN, Herbert",GER,Men,200m breaststroke,M,Bronze
Aquatics,Swimming,"DAVIES, John Griffith",AUS,Men,200m breaststroke,M,Gold
Aquatics,Swimming,"STASSFORTH, Bowen Dow",USA,Men,200m breaststroke,M,Silver
Aquatics,Swimming,"GORDON-MCKAY, Helen Orr",GBR,Women,200m breaststroke,W,Bronze
Aquatics,Swimming,"SZEKELY, Eva",HUN,Women,200m breaststroke,W,Gold
Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,200m breaststroke,W,Silver
Aquatics,Swimming,"ÖSTRAND, Per-Olof",SWE,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"BOITEUX, Jean",FRA,Men,400m freestyle,M,Gold
Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,400m freestyle,M,Silver
Aquatics,Swimming,"KAWAMOTO, Evelyn Tokue",USA,Women,400m freestyle,W,Bronze
Aquatics,Swimming,"GYENGE, Valeria",HUN,Women,400m freestyle,W,Gold
Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,400m freestyle,W,Silver
Aquatics,Swimming,"ALDERSON-ROSAZZA, Joan Ann",USA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"KAWAMOTO, Evelyn Tokue",USA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"LA VINE, Jacqueline Carol",USA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"STEPAN, Mary Louise",USA,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"NOVAK, Ilona",HUN,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"SZÖKE, Katalin",HUN,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"TEMES, Judith",HUN,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"HEIJTING-SCHUHMACHER, Irma",NED,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"LINSSEN-VAESSEN, Marie-Louise Jean",NED,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"TERMEULEN, Johanna Maria",NED,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"VAN VOORN, Cornelia (Koosje)",NED,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"BERNARDO, Joseph",FRA,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"BOITEUX, Jean",FRA,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"EMINENTE, Aldo",FRA,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"JANY, Alexandre",FRA,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"MCLANE, James Price Jr.",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"MOORE, Wayne Richard",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"WOOLSEY, William Tripp",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"GOTO, Toru",JPN,Men,4x200m freestyle relay,M,Silver
Aquatics,Swimming,"HAMAGUCHI, Yoshihiro",JPN,Men,4x200m freestyle relay,M,Silver
Aquatics,Swimming,"SUZUKI, Hiroshi",JPN,Men,4x200m freestyle relay,M,Silver
Aquatics,Swimming,"TANIKAWA, Teijiro",JPN,Men,4x200m freestyle relay,M,Silver
Aquatics,Water polo,"ARENA, Ermenegildo",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"CECCARINI, Lucio",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"DE SANZUANE, Renato",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"GAMBINO, Raffaello",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"GIONTA, Salvatore",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"MANNELLI, Maurizio",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"OGNIO, Geminio",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"PERETTI, Carlo",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"POLITO, Vincenzo",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"RUBINI, Cesare",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"TRAIOLA, Renato",ITA,Men,water polo,M,Bronze
Aquatics,Water polo,"ANTAL, Robert",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"BOLVARI, Antal",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"FABIAN, Dezsö",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"GYARMATI, Dezso",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"HASZNOS, Istvan",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"JENEI, Laszlo",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"KARPATI, György",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"LEMHENYI, DezsÃ¶",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"MARKOVICS, Kalman",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"MARTIN, Miklos",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"SZITTYA, Karoly",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"SZIVOS, Istvan",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"VIZVARI, György",HUN,Men,water polo,M,Gold
Aquatics,Water polo,"BAKASUN, Veljko",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"BRAINOVIC, Marko",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"IVKOVIC, Vladimir",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"JEZIC, Zdravko",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"KOVACIC, Zdravko",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"KURTINI, Ivo",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"RADONIC, Lovro",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"STAKULA, Ivo",YUG,Men,water polo,M,Silver
Aquatics,Water polo,"VUKSANOVIC, Bosko",YUG,Men,water polo,M,Silver
Athletics,Athletics,"ANUFRIYEV, Aleksandr",URS,Men,10000m,M,Bronze
Athletics,Athletics,"ZATOPEK, Emil",TCH,Men,10000m,M,Gold
Athletics,Athletics,"MIMOUN, Alain",FRA,Men,10000m,M,Silver
Athletics,Athletics,"JUNK, Bruno",URS,Men,10000m walk,M,Bronze
Athletics,Athletics,"MIKAELSSON, John",SWE,Men,10000m walk,M,Gold
Athletics,Athletics,"SCHWAB, Erich Arthur Fritz",SUI,Men,10000m walk,M,Silver
Athletics,Athletics,"BAILEY, Emmanuel Mcdonald",GBR,Men,100m,M,Bronze
Athletics,Athletics,"REMIGINO, Lindy",USA,Men,100m,M,Gold
Athletics,Athletics,"MCKENLEY, Herbert",JAM,Men,100m,M,Silver
Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Women,100m,W,Bronze
Athletics,Athletics,"JACKSON, Marjorie",AUS,Women,100m,W,Gold
Athletics,Athletics,"ROBB-HASENJÄGER, Daphne Lilian Evelyn",RSA,Women,100m,W,Silver
Athletics,Athletics,"BARNARD, Arthur",USA,Men,110m hurdles,M,Bronze
Athletics,Athletics,"DILLARD, Harrison",USA,Men,110m hurdles,M,Gold
Athletics,Athletics,"DAVIS, Jack",USA,Men,110m hurdles,M,Silver
Athletics,Athletics,"LUEG, Werner",GER,Men,1500m,M,Bronze
Athletics,Athletics,"BARTHEL, Joseph",LUX,Men,1500m,M,Gold
Athletics,Athletics,"MCMILLEN, Robert",USA,Men,1500m,M,Silver
Athletics,Athletics,"GATHERS, James",USA,Men,200m,M,Bronze
Athletics,Athletics,"STANFIELD, Andrew William",USA,Men,200m,M,Gold
Athletics,Athletics,"BAKER, Walter Thane",USA,Men,200m,M,Silver
Athletics,Athletics,"KHNYKINA-DVALISHVILI, Nadezhda",URS,Women,200m,W,Bronze
Athletics,Athletics,"JACKSON, Marjorie",AUS,Women,200m,W,Gold
Athletics,Athletics,"BROUWER, Bertha",NED,Women,200m,W,Silver
Athletics,Athletics,"DISLEY, John Ivor",GBR,Men,3000m steeplechase,M,Bronze
Athletics,Athletics,"ASHENFELTER, Horace III",USA,Men,3000m steeplechase,M,Gold
Athletics,Athletics,"KAZANTSEV, Vladimir",URS,Men,3000m steeplechase,M,Silver
Athletics,Athletics,"MATSON, Oliver Adrian",USA,Men,400m,M,Bronze
Athletics,Athletics,"RHODEN, Vincent George",JAM,Men,400m,M,Gold
Athletics,Athletics,"MCKENLEY, Herbert",JAM,Men,400m,M,Silver
Athletics,Athletics,"HOLLAND, John Macfarlane",NZL,Men,400m hurdles,M,Bronze
Athletics,Athletics,"MOORE, Charles Hewes Jr.",USA,Men,400m hurdles,M,Gold
Athletics,Athletics,"LITUEV, Yuri",URS,Men,400m hurdles,M,Silver
Athletics,Athletics,"CSANYI, György",HUN,Men,4x100m relay,M,Bronze
Athletics,Athletics,"GOLDOVANYI, Bela",HUN,Men,4x100m relay,M,Bronze
Athletics,Athletics,"VARASDI, Geza",HUN,Men,4x100m relay,M,Bronze
Athletics,Athletics,"ZARANDI, Laszlo",HUN,Men,4x100m relay,M,Bronze
Athletics,Athletics,"DILLARD, Harrison",USA,Men,4x100m relay,M,Gold
Athletics,Athletics,"REMIGINO, Lindy",USA,Men,4x100m relay,M,Gold
Athletics,Athletics,"SMITH, Finis Dean",USA,Men,4x100m relay,M,Gold
Athletics,Athletics,"STANFIELD, Andrew William",USA,Men,4x100m relay,M,Gold
Athletics,Athletics,"KALYAEV, Lev",URS,Men,4x100m relay,M,Silver
Athletics,Athletics,"SANADZE, Levan",URS,Men,4x100m relay,M,Silver
Athletics,Athletics,"SUKHAREV, Vladimir",URS,Men,4x100m relay,M,Silver
Athletics,Athletics,"TOKAREV, Boris",URS,Men,4x100m relay,M,Silver
Athletics,Athletics,"ARMITAGE, Heather Joy",GBR,Women,4x100m relay,W,Bronze
Athletics,Athletics,"CHEESEMAN, Sylvia",GBR,Women,4x100m relay,W,Bronze
Athletics,Athletics,"DESFORGES, Jean Catherine",GBR,Women,4x100m relay,W,Bronze
Athletics,Athletics,"FOULDS-PAUL, June Florence",GBR,Women,4x100m relay,W,Bronze
Athletics,Athletics,"FAGGS, Mae Heriwentha",USA,Women,4x100m relay,W,Gold
Athletics,Athletics,"HARDY, Catherine",USA,Women,4x100m relay,W,Gold
Athletics,Athletics,"JONES, Barbara Pearl",USA,Women,4x100m relay,W,Gold
Athletics,Athletics,"MOREAU, Janet Theresa",USA,Women,4x100m relay,W,Gold
Athletics,Athletics,"KLEIN, Helga",GER,Women,4x100m relay,W,Silver
Athletics,Athletics,"KNAB, Ulla",GER,Women,4x100m relay,W,Silver
Athletics,Athletics,"PETERSEN-KALLENSEE, Marga",GER,Women,4x100m relay,W,Silver
Athletics,Athletics,"SANDER-DOMAGELLA, Maria",GER,Women,4x100m relay,W,Silver
Athletics,Athletics,"GEISTER, Hans",GER,Men,4x400m relay,M,Bronze
Athletics,Athletics,"HAAS, Karl-Friedrich",GER,Men,4x400m relay,M,Bronze
Athletics,Athletics,"STEINES, Günther",GER,Men,4x400m relay,M,Bronze
Athletics,Athletics,"ULZHEIMER, Heinz",GER,Men,4x400m relay,M,Bronze
Athletics,Athletics,"LAING, Leslie",JAM,Men,4x400m relay,M,Gold
Athletics,Athletics,"MCKENLEY, Herbert",JAM,Men,4x400m relay,M,Gold
Athletics,Athletics,"RHODEN, Vincent George",JAM,Men,4x400m relay,M,Gold
Athletics,Athletics,"WINT, Arthur",JAM,Men,4x400m relay,M,Gold
Athletics,Athletics,"COLE, Gerrard Eugene",USA,Men,4x400m relay,M,Silver
Athletics,Athletics,"MATSON, Oliver Adrian",USA,Men,4x400m relay,M,Silver
Athletics,Athletics,"MOORE, Charles Hewes Jr.",USA,Men,4x400m relay,M,Silver
Athletics,Athletics,"WHITFIELD, Malvin Groston",USA,Men,4x400m relay,M,Silver
Athletics,Athletics,"SCHADE, Herbert",GER,Men,5000m,M,Bronze
Athletics,Athletics,"ZATOPEK, Emil",TCH,Men,5000m,M,Gold
Athletics,Athletics,"MIMOUN, Alain",FRA,Men,5000m,M,Silver
Athletics,Athletics,"ROKA, Antal",HUN,Men,50km walk,M,Bronze
Athletics,Athletics,"DORDONI, Giuseppe",ITA,Men,50km walk,M,Gold
Athletics,Athletics,"DOLEZAL, Josef",TCH,Men,50km walk,M,Silver
Athletics,Athletics,"ULZHEIMER, Heinz",GER,Men,800m,M,Bronze
Athletics,Athletics,"WHITFIELD, Malvin Groston",USA,Men,800m,M,Gold
Athletics,Athletics,"WINT, Arthur",JAM,Men,800m,M,Silver
Athletics,Athletics,"SANDER-DOMAGELLA, Maria",GER,Women,80m hurdles,W,Bronze
Athletics,Athletics,"STRICKLAND-DE LA HUNTY, Shirley",AUS,Women,80m hurdles,W,Gold
Athletics,Athletics,"GOLUBNICHAYA, Mariya",URS,Women,80m hurdles,W,Silver
Athletics,Athletics,"SIMMONS, Floyd Macon Jr.",USA,Men,decathlon,M,Bronze
Athletics,Athletics,"MATHIAS, Robert",USA,Men,decathlon,M,Gold
Athletics,Athletics,"CAMPBELL, Milton Gray",USA,Men,decathlon,M,Silver
Athletics,Athletics,"DILLION, James Leo",USA,Men,discus throw,M,Bronze
Athletics,Athletics,"INESS, Simeon Garland",USA,Men,discus throw,M,Gold
Athletics,Athletics,"CONSOLINI, Adolfo",ITA,Men,discus throw,M,Silver
Athletics,Athletics,"DUMBADZE, Nina",URS,Women,discus throw,W,Bronze
Athletics,Athletics,"ROMASHKOVA-PONOMAREVA, Nina",URS,Women,discus throw,W,Gold
Athletics,Athletics,"BAGRYANTSEVA, Elizaveta",URS,Women,discus throw,W,Silver
Athletics,Athletics,"NEMETH, Imre",HUN,Men,hammer throw,M,Bronze
Athletics,Athletics,"CSERMAK, Jozsef",HUN,Men,hammer throw,M,Gold
Athletics,Athletics,"STORCH, Karl",GER,Men,hammer throw,M,Silver
Athletics,Athletics,"TELLES DA CONCEICAO, Jose",BRA,Men,high jump,M,Bronze
Athletics,Athletics,"DAVIS, Walter Francis",USA,Men,high jump,M,Gold
Athletics,Athletics,"WIESNER, Kenneth George",USA,Men,high jump,M,Silver
Athletics,Athletics,"CHUDINA, Aleksandra",URS,Women,high jump,W,Bronze
Athletics,Athletics,"BRAND, Esther Cornelia",RSA,Women,high jump,W,Gold
Athletics,Athletics,"LERWILL, Sheila",GBR,Women,high jump,W,Silver
Athletics,Athletics,"HYYTIÄINEN, Toivo Armas",FIN,Men,javelin throw,M,Bronze
Athletics,Athletics,"YOUNG, Cyrus C. Jr.",USA,Men,javelin throw,M,Gold
Athletics,Athletics,"MILLER, William Preston",USA,Men,javelin throw,M,Silver
Athletics,Athletics,"GORCHAKOVA, Elena",URS,Women,javelin throw,W,Bronze
Athletics,Athletics,"INGROVA-ZATOPKOVA, Dana",TCH,Women,javelin throw,W,Gold
Athletics,Athletics,"CHUDINA, Aleksandra",URS,Women,javelin throw,W,Silver
Athletics,Athletics,"FÖLDESSY, Ödön",HUN,Men,long jump,M,Bronze
Athletics,Athletics,"BIFFLE, Jerome Cousins",USA,Men,long jump,M,Gold
Athletics,Athletics,"GOURDINE, Meredith Charles",USA,Men,long jump,M,Silver
Athletics,Athletics,"CAWLEY, Shirley",GBR,Women,long jump,W,Bronze
Athletics,Athletics,"WILLIAMS, Yvette Winefred",NZL,Women,long jump,W,Gold
Athletics,Athletics,"CHUDINA, Aleksandra",URS,Women,long jump,W,Silver
Athletics,Athletics,"JANSSON, Gustaf",SWE,Men,marathon,M,Bronze
Athletics,Athletics,"ZATOPEK, Emil",TCH,Men,marathon,M,Gold
Athletics,Athletics,"GORNO, Reinaldo",ARG,Men,marathon,M,Silver
Athletics,Athletics,"LUNDBERG, Ragnar",SWE,Men,pole vault,M,Bronze
Athletics,Athletics,"RICHARDS, Robert",USA,Men,pole vault,M,Gold
Athletics,Athletics,"LAZ, Donald Robert",USA,Men,pole vault,M,Silver
Athletics,Athletics,"FUCHS, James Emanuel",USA,Men,shot put,M,Bronze
Athletics,Athletics,"O, William Patrick Jr.",USA,Men,shot put,M,Gold
Athletics,Athletics,"HOOPER, Darrow Clarence",USA,Men,shot put,M,Silver
Athletics,Athletics,"TOCHENOVA, Klavdiya",URS,Women,shot put,W,Bronze
Athletics,Athletics,"ZYBINA, Galina",URS,Women,shot put,W,Gold
