Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100m freestyle,M,Gold
Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100m freestyle,M,Silver
Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100m freestyle for sailors,M,Bronze
Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100m freestyle for sailors,M,Gold
Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100m freestyle for sailors,M,Silver
Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200m freestyle,M,Bronze
Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200m freestyle,M,Gold
Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200m freestyle,M,Silver
Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400m freestyle,M,Gold
Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400m freestyle,M,Silver
Athletics,Athletics,"LANE, Francis",USA,Men,100m,M,Bronze
Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100m,M,Bronze
Athletics,Athletics,"BURKE, Thomas",USA,Men,100m,M,Gold
Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100m,M,Silver
Athletics,Athletics,"CURTIS, Thomas",USA,Men,110m hurdles,M,Gold
Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110m hurdles,M,Silver
Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500m,M,Bronze
Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500m,M,Gold
Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500m,M,Silver
Athletics,Athletics,"GMELIN, Charles",GBR,Men,400m,M,Bronze
Athletics,Athletics,"BURKE, Thomas",USA,Men,400m,M,Gold
Athletics,Athletics,"JAMISON, Herbert",USA,Men,400m,M,Silver
Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800m,M,Bronze
Athletics,Athletics,"FLACK, Edwin",AUS,Men,800m,M,Gold
Athletics,Athletics,"DANI, Nandor",HUN,Men,800m,M,Silver
Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,discus throw,M,Bronze
Athletics,Athletics,"GARRETT, Robert",USA,Men,discus throw,M,Gold
Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",GRE,Men,discus throw,M,Silver
Athletics,Athletics,"CLARK, Ellery",USA,Men,high jump,M,Gold
Athletics,Athletics,"CONNOLLY, James",USA,Men,high jump,M,Silver
Athletics,Athletics,"GARRETT, Robert",USA,Men,high jump,M,Silver
Athletics,Athletics,"CONNOLLY, James",USA,Men,long jump,M,Bronze
Athletics,Athletics,"CLARK, Ellery",USA,Men,long jump,M,Gold
Athletics,Athletics,"GARRETT, Robert",USA,Men,long jump,M,Silver
Athletics,Athletics,"KELLNER, Gyula",HUN,Men,marathon,M,Bronze
Athletics,Athletics,"LOUIS, Spyridon",GRE,Men,marathon,M,Gold
Athletics,Athletics,"VASILAKOS, Kharilaos",GRE,Men,marathon,M,Silver
Athletics,Athletics,"DAMASKOS, Evangelos",GRE,Men,pole vault,M,Bronze
Athletics,Athletics,"THEODOROPOULOS, Ioannis",GRE,Men,pole vault,M,Bronze
Athletics,Athletics,"HOYT, William Welles",USA,Men,pole vault,M,Gold
Athletics,Athletics,"TYLER, Albert",USA,Men,pole vault,M,Silver
Athletics,Athletics,"PAPASIDERIS, Georgios",GRE,Men,shot put,M,Bronze
Athletics,Athletics,"GARRETT, Robert",USA,Men,shot put,M,Gold
Athletics,Athletics,"GOUSKOS, Miltiadis",GRE,Men,shot put,M,Silver
Athletics,Athletics,"PERSAKIS, Ioannis",GRE,Men,triple jump,M,Bronze
Athletics,Athletics,"CONNOLLY, James",USA,Men,triple jump,M,Gold
Athletics,Athletics,"TUFFERI, Alexandre",FRA,Men,triple jump,M,Silver
Cycling,Cycling Road,"BATTEL, Edward",GBR,Men,individual road race,M,Bronze
Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",GRE,Men,individual road race,M,Gold
Cycling,Cycling Road,"GOEDRICH, August",GER,Men,individual road race,M,Silver
Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,100km,M,Gold
Cycling,Cycling Track,"KOLETTIS, Georgios",GRE,Men,100km,M,Silver
Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,10km,M,Bronze
Cycling,Cycling Track,"MASSON, Paul",FRA,Men,10km,M,Gold
Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,10km,M,Silver
Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,12-hour race,M,Gold
Cycling,Cycling Track,"KEEPING, Frank",GBR,Men,12-hour race,M,Silver
Cycling,Cycling Track,"SCHMAL, Adolf",AUT,Men,1km time trial,M,Bronze
Cycling,Cycling Track,"MASSON, Paul",FRA,Men,1km time trial,M,Gold
Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,1km time trial,M,Silver
Cycling,Cycling Track,"FLAMENG, Léon",FRA,Men,Sprint indivual,M,Bronze
Cycling,Cycling Track,"MASSON, Paul",FRA,Men,Sprint indivual,M,Gold
Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",GRE,Men,Sprint indivual,M,Silver
Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Men,foil individual,M,Bronze
Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",FRA,Men,foil individual,M,Gold
Fencing,Fencing,"CALLOT, Henri",FRA,Men,foil individual,M,Silver
Fencing,Fencing,"PYRGOS, Leonidas",GRE,Men,"foil, masters",M,Gold
Fencing,Fencing,"PERRONNET, Maurice",FRA,Men,"foil, masters",M,Silver
Fencing,Fencing,"NIELSEN, Holger",DEN,Men,sabre individual,M,Bronze
Fencing,Fencing,"GEORGIADIS, Ioannis",GRE,Men,sabre individual,M,Gold
Fencing,Fencing,"KARAKALOS, Telemachos",GRE,Men,sabre individual,M,Silver
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,horizontal bar,M,Gold
Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,horizontal bar,M,Silver
Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,parallel bars,M,Gold
Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,parallel bars,M,Silver
Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,pommel horse,M,Gold
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,pommel horse,M,Silver
Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,rings,M,Bronze
Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,rings,M,Gold
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,rings,M,Silver
Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,rope climbing,M,Bronze
Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,rope climbing,M,Gold
Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,rope climbing,M,Silver
Gymnastics,Artistic G.,"BÖCKER, Konrad",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"RÖSTEL, Richard",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,"team, horizontal bar",M,Gold
Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",GRE,Men,"team, parallel bars",M,Bronze
Gymnastics,Artistic G.,"KARVELAS, Phillippos",GRE,Men,"team, parallel bars",M,Bronze
Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",GRE,Men,"team, parallel bars",M,Bronze
Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",GRE,Men,"team, parallel bars",M,Bronze
Gymnastics,Artistic G.,"BÖCKER, Konrad",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"FLATOW, Alfred",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"FLATOW, Gustav Felix",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"HILMAR, Georg",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"HOFMANN, Fritz",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"NEUKIRCH, Karl",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"RÖSTEL, Richard",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"SCHUFT, Gustav",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,"team, parallel bars",M,Gold
Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",GRE,Men,"team, parallel bars",M,Silver
Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",GRE,Men,"team, parallel bars",M,Silver
Gymnastics,Artistic G.,"PERSAKIS, Petros",GRE,Men,"team, parallel bars",M,Silver
Gymnastics,Artistic G.,"XENAKIS, Thomasios",GRE,Men,"team, parallel bars",M,Silver
Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",GER,Men,vault,M,Bronze
Gymnastics,Artistic G.,"SCHUMANN, Carl",GER,Men,vault,M,Gold
Gymnastics,Artistic G.,"ZUTTER, Louis",SUI,Men,vault,M,Silver
Shooting,Shooting,"MORAKIS, Nikolaos",GRE,Men,25m army pistol,M,Bronze
Shooting,Shooting,"PAINE, John",USA,Men,25m army pistol,M,Gold
Shooting,Shooting,"PAINE, Sumner",USA,Men,25m army pistol,M,Silver
Shooting,Shooting,"NIELSEN, Holger",DEN,Men,25m rapid fire pistol (60 shots),M,Bronze
Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,25m rapid fire pistol (60 shots),M,Gold
Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,25m rapid fire pistol (60 shots),M,Silver
Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,50m pistol (60 shots),M,Bronze
Shooting,Shooting,"PAINE, Sumner",USA,Men,50m pistol (60 shots),M,Gold
Shooting,Shooting,"NIELSEN, Holger",DEN,Men,50m pistol (60 shots),M,Silver
Shooting,Shooting,"TRIKUPIS, Nicolaos",GRE,Men,"army rifle, 200m",M,Bronze
Shooting,Shooting,"KARASEVDAS, Pantelis",GRE,Men,"army rifle, 200m",M,Gold
Shooting,Shooting,"PAVLIDIS, Pavlos",GRE,Men,"army rifle, 200m",M,Silver
Shooting,Shooting,"JENSEN, Viggo",DEN,Men,"army rifle, 300m",M,Bronze
Shooting,Shooting,"ORPHANIDIS, Georgios",GRE,Men,"army rifle, 300m",M,Gold
Shooting,Shooting,"PHRANGOUDIS, Joannis",GRE,Men,"army rifle, 300m",M,Silver
Tennis,Tennis,"FLACK, Edwin",ZZX,Men,doubles,M,Bronze
Tennis,Tennis,"ROBERTSON, George Stuart",ZZX,Men,doubles,M,Bronze
Tennis,Tennis,"BOLAND, John",ZZX,Men,doubles,M,Gold
Tennis,Tennis,"TRAUN, Friedrich",ZZX,Men,doubles,M,Gold
Tennis,Tennis,"KASDAGLIS, Dionysios",ZZX,Men,doubles,M,Silver
Tennis,Tennis,"PETROKOKKINOS, Demetrios",ZZX,Men,doubles,M,Silver
Tennis,Tennis,"PASPATIS, Konstantinos",GRE,Men,singles,M,Bronze
Tennis,Tennis,"TAPAVICZA, Momcsillo",HUN,Men,singles,M,Bronze
Tennis,Tennis,"BOLAND, John",GBR,Men,singles,M,Gold
Tennis,Tennis,"KASDAGLIS, Dionysios",GRE,Men,singles,M,Silver
Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",GRE,Men,heavyweight - one hand lift,M,Bronze
Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - one hand lift,M,Gold
Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - one hand lift,M,Silver
Weightlifting,Weightlifting,"VERSIS, Sotirios",GRE,Men,heavyweight - two hand lift,M,Bronze
Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Men,heavyweight - two hand lift,M,Gold
Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,Men,heavyweight - two hand lift,M,Silver
Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",GRE,Men,open event,M,Bronze
Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",GER,Men,open event,M,Gold
Wrestling,Wrestling Gre-R,"TSITAS, Georgios",GRE,Men,open event,M,Silver
