Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,10m platform,M,Bronze
Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10m platform,M,Gold
Aquatics,Diving,"RYDZE, Richard Anthony",USA,Men,10m platform,M,Silver
Aquatics,Diving,"JANICKE, Marina",GDR,Women,10m platform,W,Bronze
Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,10m platform,W,Gold
Aquatics,Diving,"DUCHKOVA, Milena",TCH,Women,10m platform,W,Silver
Aquatics,Diving,"LINCOLN, Craig Howard",USA,Men,3m springboard,M,Bronze
Aquatics,Diving,"VASIN, Vladimir",URS,Men,3m springboard,M,Gold
Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3m springboard,M,Silver
Aquatics,Diving,"JANICKE, Marina",GDR,Women,3m springboard,W,Bronze
Aquatics,Diving,"KING, Maxine Joyce",USA,Women,3m springboard,W,Gold
Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,3m springboard,W,Silver
Aquatics,Swimming,"MURPHY, John Joseph",USA,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"MATTHES, Roland",GDR,Men,100m backstroke,M,Gold
Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,100m backstroke,W,Gold
Aquatics,Swimming,"GYARMATI, Andrea",HUN,Women,100m backstroke,W,Silver
Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,100m breaststroke,M,Bronze
Aquatics,Swimming,"TAGUCHI, Nobutaka",JPN,Men,100m breaststroke,M,Gold
Aquatics,Swimming,"BRUCE, Thomas Edwin",USA,Men,100m breaststroke,M,Silver
Aquatics,Swimming,"WHITFIELD, Beverley Joy",AUS,Women,100m breaststroke,W,Bronze
Aquatics,Swimming,"CARR, Catherine L.",USA,Women,100m breaststroke,W,Gold
Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,100m breaststroke,W,Silver
Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,100m butterfly,M,Bronze
Aquatics,Swimming,"SPITZ, Mark",USA,Men,100m butterfly,M,Gold
Aquatics,Swimming,"ROBERTSON, Bruce Richard",CAN,Men,100m butterfly,M,Silver
Aquatics,Swimming,"GYARMATI, Andrea",HUN,Women,100m butterfly,W,Bronze
Aquatics,Swimming,"AOKI, Mayumi",JPN,Women,100m butterfly,W,Gold
Aquatics,Swimming,"BEIER, Roswitha",GDR,Women,100m butterfly,W,Silver
Aquatics,Swimming,"BURE, Vladimir",URS,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"SPITZ, Mark",USA,Men,100m freestyle,M,Gold
Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,100m freestyle,M,Silver
Aquatics,Swimming,"GOULD, Shane",AUS,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"NEILSON, Alexandra Lynn",USA,Women,100m freestyle,W,Gold
Aquatics,Swimming,"BABASHOFF, Shirley Farber",USA,Women,100m freestyle,W,Silver
Aquatics,Swimming,"NORTHWAY, Douglas Dale",USA,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"BURTON, Michael Jay",USA,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"WINDEATT, Graham Claud",AUS,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"IVEY, Mitchell",USA,Men,200m backstroke,M,Bronze
Aquatics,Swimming,"MATTHES, Roland",GDR,Men,200m backstroke,M,Gold
Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,200m backstroke,M,Silver
Aquatics,Swimming,"GURR, Donna Marie",CAN,Women,200m backstroke,W,Bronze
Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,200m backstroke,W,Gold
Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,200m backstroke,W,Silver
Aquatics,Swimming,"TAGUCHI, Nobutaka",JPN,Men,200m breaststroke,M,Bronze
Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,200m breaststroke,M,Gold
Aquatics,Swimming,"WILKIE, David Andrew",GBR,Men,200m breaststroke,M,Silver
Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,200m breaststroke,W,Bronze
Aquatics,Swimming,"WHITFIELD, Beverley Joy",AUS,Women,200m breaststroke,W,Gold
Aquatics,Swimming,"SCHOENFIELD, Dana Lee",USA,Women,200m breaststroke,W,Silver
Aquatics,Swimming,"BACKHAUS, Robin James",USA,Men,200m butterfly,M,Bronze
Aquatics,Swimming,"SPITZ, Mark",USA,Men,200m butterfly,M,Gold
Aquatics,Swimming,"HALL, Gary Wayne",USA,Men,200m butterfly,M,Silver
Aquatics,Swimming,"DANIEL, Eleanor Suzanne",USA,Women,200m butterfly,W,Bronze
Aquatics,Swimming,"MOE-THORNTON, Karen Patricia",USA,Women,200m butterfly,W,Gold
Aquatics,Swimming,"COLELLA, Lynn Ann",USA,Women,200m butterfly,W,Silver
Aquatics,Swimming,"LAMPE, Werner",FRG,Men,200m freestyle,M,Bronze
Aquatics,Swimming,"SPITZ, Mark",USA,Men,200m freestyle,M,Gold
Aquatics,Swimming,"GENTER, Robert Steven",USA,Men,200m freestyle,M,Silver
Aquatics,Swimming,"ROTHHAMMER, Keena Ruth",USA,Women,200m freestyle,W,Bronze
Aquatics,Swimming,"GOULD, Shane",AUS,Women,200m freestyle,W,Gold
Aquatics,Swimming,"BABASHOFF, Shirley Farber",USA,Women,200m freestyle,W,Silver
Aquatics,Swimming,"FURNISS, Steven Charles",USA,Men,200m individual medley,M,Bronze
Aquatics,Swimming,"LARSSON, Gunnar",SWE,Men,200m individual medley,M,Gold
Aquatics,Swimming,"MCKEE, Alexander Timothy",USA,Men,200m individual medley,M,Silver
Aquatics,Swimming,"VIDALI, Lynn Marie",USA,Women,200m individual medley,W,Bronze
Aquatics,Swimming,"GOULD, Shane",AUS,Women,200m individual medley,W,Gold
Aquatics,Swimming,"ENDER, Kornelia",GDR,Women,200m individual medley,W,Silver
Aquatics,Swimming,"MCBREEN, Thomas Sean",USA,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"COOPER, Bradford Paul",AUS,Men,400m freestyle,M,Gold
Aquatics,Swimming,"GENTER, Robert Steven",USA,Men,400m freestyle,M,Silver
Aquatics,Swimming,"WEGNER, Gudrun",GDR,Women,400m freestyle,W,Bronze
Aquatics,Swimming,"GOULD, Shane",AUS,Women,400m freestyle,W,Gold
Aquatics,Swimming,"CALLIGARIS, Novella",ITA,Women,400m freestyle,W,Silver
Aquatics,Swimming,"HARGITAY, Andras",HUN,Men,400m individual medley,M,Bronze
Aquatics,Swimming,"LARSSON, Gunnar",SWE,Men,400m individual medley,M,Gold
Aquatics,Swimming,"MCKEE, Alexander Timothy",USA,Men,400m individual medley,M,Silver
Aquatics,Swimming,"CALLIGARIS, Novella",ITA,Women,400m individual medley,W,Bronze
Aquatics,Swimming,"NEALL, Gail",AUS,Women,400m individual medley,W,Gold
Aquatics,Swimming,"CLIFF, Leslie",CAN,Women,400m individual medley,W,Silver
Aquatics,Swimming,"BRUCH, Peter",GDR,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"HARTUNG, Wilfried",GDR,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"MATTHES, Roland",GDR,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"UNGER, Lutz",GDR,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"EDGAR, David Holmes",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"MURPHY, John Joseph",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"SPITZ, Mark",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"ABOIMOV, Viktor",URS,Men,4x100m freestyle relay,M,Silver
Aquatics,Swimming,"BURE, Vladimir",URS,Men,4x100m freestyle relay,M,Silver
Aquatics,Swimming,"GRIVENNIKOV, Igor",URS,Men,4x100m freestyle relay,M,Silver
Aquatics,Swimming,"MAZANOV, Viktor",URS,Men,4x100m freestyle relay,M,Silver
Aquatics,Swimming,"BECKMANN, Gudrun",FRG,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"REINECK, Heidemarie",FRG,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"STEINBACH, Angela",FRG,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"WEBER, Judith (Jutta)",FRG,Women,4x100m freestyle relay,W,Bronze
Aquatics,Swimming,"BABASHOFF, Shirley Farber",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"BARKMAN, Jane Louise",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"KEMP, Jennifer Jo",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"NEILSON, Alexandra Lynn",USA,Women,4x100m freestyle relay,W,Gold
Aquatics,Swimming,"EIFE, Andrea",GDR,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"ENDER, Kornelia",GDR,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"SEHMISCH, Elke",GDR,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"WETZKO, Gabriele",GDR,Women,4x100m freestyle relay,W,Silver
Aquatics,Swimming,"FISH, Erik",CAN,Men,4x100m medley relay,M,Bronze
Aquatics,Swimming,"KASTING, Robert",CAN,Men,4x100m medley relay,M,Bronze
Aquatics,Swimming,"MAHONY, William",CAN,Men,4x100m medley relay,M,Bronze
Aquatics,Swimming,"ROBERTSON, Bruce Richard",CAN,Men,4x100m medley relay,M,Bronze
Aquatics,Swimming,"BRUCE, Thomas Edwin",USA,Men,4x100m medley relay,M,Gold
Aquatics,Swimming,"HEIDENREICH, Jerry Alan",USA,Men,4x100m medley relay,M,Gold
Aquatics,Swimming,"SPITZ, Mark",USA,Men,4x100m medley relay,M,Gold
Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,4x100m medley relay,M,Gold
Aquatics,Swimming,"FLÖCKNER, Hartmut",GDR,Men,4x100m medley relay,M,Silver
Aquatics,Swimming,"KATZUR, Klaus",GDR,Men,4x100m medley relay,M,Silver
Aquatics,Swimming,"MATTHES, Roland",GDR,Men,4x100m medley relay,M,Silver
Aquatics,Swimming,"UNGER, Lutz",GDR,Men,4x100m medley relay,M,Silver
Aquatics,Swimming,"BECKMANN, Gudrun",FRG,Women,4x100m medley relay,W,Bronze
Aquatics,Swimming,"EBERLE, Verena (Vreni)",FRG,Women,4x100m medley relay,W,Bronze
Aquatics,Swimming,"PIELEN, Silke",FRG,Women,4x100m medley relay,W,Bronze
Aquatics,Swimming,"REINECK, Heidemarie",FRG,Women,4x100m medley relay,W,Bronze
Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,4x100m medley relay,W,Gold
Aquatics,Swimming,"CARR, Catherine L.",USA,Women,4x100m medley relay,W,Gold
Aquatics,Swimming,"DEARDRUFF, Deena Diana",USA,Women,4x100m medley relay,W,Gold
Aquatics,Swimming,"NEILSON, Alexandra Lynn",USA,Women,4x100m medley relay,W,Gold
Aquatics,Swimming,"BEIER, Roswitha",GDR,Women,4x100m medley relay,W,Silver
Aquatics,Swimming,"ENDER, Kornelia",GDR,Women,4x100m medley relay,W,Silver
Aquatics,Swimming,"HERBST, Christine",GDR,Women,4x100m medley relay,W,Silver
Aquatics,Swimming,"VOGEL, Renate",GDR,Women,4x100m medley relay,W,Silver
Aquatics,Swimming,"BURE, Vladimir",URS,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"GRIVENNIKOV, Igor",URS,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"KULIKOV, Georgi",URS,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"MAZANOV, Viktor",URS,Men,4x200m freestyle relay,M,Bronze
Aquatics,Swimming,"GENTER, Robert Steven",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"KINSELLA, John Pitann",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"SPITZ, Mark",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"TYLER, Frederick Daniel",USA,Men,4x200m freestyle relay,M,Gold
Aquatics,Swimming,"FASSNACHT, Hans",FRG,Men,4x200m freestyle relay,M,Silver
