Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"XIONG, Ni",CHN,Men,10m platform,M,Bronze
Aquatics,Diving,"SUN, Shuwei",CHN,Men,10m platform,M,Gold
Aquatics,Diving,"DONIE, Scott R.",USA,Men,10m platform,M,Silver
Aquatics,Diving,"CLARK, Mary Ellen",USA,Women,10m platform,W,Bronze
Aquatics,Diving,"FU, Mingxia",CHN,Women,10m platform,W,Gold
Aquatics,Diving,"MIROCHINA, Elena",EUN,Women,10m platform,W,Silver
Aquatics,Diving,"SAUTIN, Dmitry",EUN,Men,3m springboard,M,Bronze
Aquatics,Diving,"LENZI, Mark Edward",USA,Men,3m springboard,M,Gold
Aquatics,Diving,"TAN, Liang-De",CHN,Men,3m springboard,M,Silver
Aquatics,Diving,"BALDUS, Brita Pia",GER,Women,3m springboard,W,Bronze
Aquatics,Diving,"GAO, Min",CHN,Women,3m springboard,W,Gold
Aquatics,Diving,"LACHKO, Irina",EUN,Women,3m springboard,W,Silver
Aquatics,Swimming,"BERKOFF, David Charles",USA,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"TEWKSBURY, Mark",CAN,Men,100m backstroke,M,Gold
Aquatics,Swimming,"ROUSE, Jeff Norman",USA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"LOVELESS, Lea",USA,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,100m backstroke,W,Gold
Aquatics,Swimming,"SZABO, Tunde",HUN,Women,100m backstroke,W,Silver
Aquatics,Swimming,"ROGERS, Philip John",AUS,Men,100m breaststroke,M,Bronze
Aquatics,Swimming,"DIEBEL, Nelson",USA,Men,100m breaststroke,M,Gold
Aquatics,Swimming,"ROZSA, Norbert",HUN,Men,100m breaststroke,M,Silver
Aquatics,Swimming,"RILEY, Samantha Linette",AUS,Women,100m breaststroke,W,Bronze
Aquatics,Swimming,"RUDKOVSKAYA, Elena",EUN,Women,100m breaststroke,W,Gold
Aquatics,Swimming,"NALL, Anita",USA,Women,100m breaststroke,W,Silver
Aquatics,Swimming,"NESTY, Anthony Conrad",SUR,Men,100m butterfly,M,Bronze
Aquatics,Swimming,"MORALES, Pablo",USA,Men,100m butterfly,M,Gold
Aquatics,Swimming,"SZUKALA, Rafal",POL,Men,100m butterfly,M,Silver
Aquatics,Swimming,"PLEWINSKI, Catherine",FRA,Women,100m butterfly,W,Bronze
Aquatics,Swimming,"QIAN, Hong",CHN,Women,100m butterfly,W,Gold
Aquatics,Swimming,"AHMANN-LEIGHTON, Christine",USA,Women,100m butterfly,W,Silver
Aquatics,Swimming,"CARON, Stephan",FRA,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"POPOV, Alexander",EUN,Men,100m freestyle,M,Gold
Aquatics,Swimming,"BORGES, Gustavo",BRA,Men,100m freestyle,M,Silver
Aquatics,Swimming,"VAN ALMSICK, Franziska",GER,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"ZHUANG, Yong",CHN,Women,100m freestyle,W,Gold
Aquatics,Swimming,"THOMPSON, Jenny",USA,Women,100m freestyle,W,Silver
Aquatics,Swimming,"HOFFMANN, Jörg",GER,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"PERKINS, Kieren John",AUS,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"HOUSMAN, Glen Clifford",AUS,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"BATTISTELLI, Stefano",ITA,Men,200m backstroke,M,Bronze
Aquatics,Swimming,"LOPEZ-ZUBERO, Martin",ESP,Men,200m backstroke,M,Gold
Aquatics,Swimming,"SELKOV, Vladimir",EUN,Men,200m backstroke,M,Silver
Aquatics,Swimming,"STEVENSON, Nicole Dawn",AUS,Women,200m backstroke,W,Bronze
Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,200m backstroke,W,Gold
Aquatics,Swimming,"HASE, Dagmar",GER,Women,200m backstroke,W,Silver
Aquatics,Swimming,"GILLINGHAM, Nick",GBR,Men,200m breaststroke,M,Bronze
Aquatics,Swimming,"BARROWMAN, Mike",USA,Men,200m breaststroke,M,Gold
Aquatics,Swimming,"ROZSA, Norbert",HUN,Men,200m breaststroke,M,Silver
Aquatics,Swimming,"NALL, Anita",USA,Women,200m breaststroke,W,Bronze
Aquatics,Swimming,"IWASAKI, Kyoko",JPN,Women,200m breaststroke,W,Gold
Aquatics,Swimming,"LIN, Li",CHN,Women,200m breaststroke,W,Silver
Aquatics,Swimming,"ESPOSITO, Franck",FRA,Men,200m butterfly,M,Bronze
Aquatics,Swimming,"STEWART, Melvin",USA,Men,200m butterfly,M,Gold
Aquatics,Swimming,"LOADER, Danyon Joseph",NZL,Men,200m butterfly,M,Silver
Aquatics,Swimming,"O'NEILL, Susan",AUS,Women,200m butterfly,W,Bronze
Aquatics,Swimming,"SANDERS, Summer",USA,Women,200m butterfly,W,Gold
Aquatics,Swimming,"WANG, Xiaohong",CHN,Women,200m butterfly,W,Silver
Aquatics,Swimming,"KASVIO, Antti Alexander",FIN,Men,200m freestyle,M,Bronze
Aquatics,Swimming,"SADOVYI, Evgueni",EUN,Men,200m freestyle,M,Gold
Aquatics,Swimming,"HOLMERTZ, Anders",SWE,Men,200m freestyle,M,Silver
Aquatics,Swimming,"KIELGASS, Kerstin",GER,Women,200m freestyle,W,Bronze
Aquatics,Swimming,"HAISLETT, Nicole Lee",USA,Women,200m freestyle,W,Gold
Aquatics,Swimming,"VAN ALMSICK, Franziska",GER,Women,200m freestyle,W,Silver
Aquatics,Swimming,"CZENE, Attila",HUN,Men,200m individual medley,M,Bronze
Aquatics,Swimming,"DARNYI, Tamas",HUN,Men,200m individual medley,M,Gold
Aquatics,Swimming,"BURGESS, Gregory",USA,Men,200m individual medley,M,Silver
Aquatics,Swimming,"HUNGER, Daniela",GER,Women,200m individual medley,W,Bronze
Aquatics,Swimming,"LIN, Li",CHN,Women,200m individual medley,W,Gold
Aquatics,Swimming,"SANDERS, Summer",USA,Women,200m individual medley,W,Silver
Aquatics,Swimming,"HOLMERTZ, Anders",SWE,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"SADOVYI, Evgueni",EUN,Men,400m freestyle,M,Gold
Aquatics,Swimming,"PERKINS, Kieren John",AUS,Men,400m freestyle,M,Silver
Aquatics,Swimming,"LEWIS, Hayley Jane",AUS,Women,400m freestyle,W,Bronze
Aquatics,Swimming,"HASE, Dagmar",GER,Women,400m freestyle,W,Gold
Aquatics,Swimming,"EVANS, Janet",USA,Women,400m freestyle,W,Silver
Aquatics,Swimming,"SACCHI, Luca",ITA,Men,400m individual medley,M,Bronze
Aquatics,Swimming,"DARNYI, Tamas",HUN,Men,400m individual medley,M,Gold
Aquatics,Swimming,"NAMESNIK, Eric",USA,Men,400m individual medley,M,Silver
Aquatics,Swimming,"SANDERS, Summer",USA,Women,400m individual medley,W,Bronze
Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,400m individual medley,W,Gold
Aquatics,Swimming,"LIN, Li",CHN,Women,400m individual medley,W,Silver
Aquatics,Swimming,"PINGER, Mark",GER,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"RICHTER, Dirk",GER,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"SZIGAT, Andreas",GER,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"TRÖGER, Christian",GER,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"ZESNER, Steffen",GER,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"ZIKARSKY, Bengt",GER,Men,4x100m freestyle relay,M,Bronze
Aquatics,Swimming,"BIONDI, Matthew",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"HUDEPOHL, Joseph",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"JAGER, Thomas Michael",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"JORDAN, Shaun",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"OLSEN, Jon",USA,Men,4x100m freestyle relay,M,Gold
Aquatics,Swimming,"THOMAS, Joel",USA,Men,4x100m freestyle relay,M,Gold
