Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"STORK, Hermann",GER,Men,10m platform,M,Bronze
Aquatics,Diving,"WAYNE, Marshall",USA,Men,10m platform,M,Gold
Aquatics,Diving,"ROOT, Elbert Alonzo",USA,Men,10m platform,M,Silver
Aquatics,Diving,"KÖHLER, Käthe",GER,Women,10m platform,W,Bronze
Aquatics,Diving,"POYNTON-HILL, Dorothy",USA,Women,10m platform,W,Gold
Aquatics,Diving,"DUNN PLOESSEL, Velma Clancy",USA,Women,10m platform,W,Silver
Aquatics,Diving,"GREENE, Alan",USA,Men,3m springboard,M,Bronze
Aquatics,Diving,"DEGENER, Richard Kempster",USA,Men,3m springboard,M,Gold
Aquatics,Diving,"WAYNE, Marshall",USA,Men,3m springboard,M,Silver
Aquatics,Diving,"POYNTON-HILL, Dorothy",USA,Women,3m springboard,W,Bronze
Aquatics,Diving,"GESTRING, Marjorie",USA,Women,3m springboard,W,Gold
Aquatics,Diving,"RAWLS, Katherine Louise",USA,Women,3m springboard,W,Silver
Aquatics,Swimming,"KIYOKAWA, Masaji",JPN,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"KIEFER, Adolph Gustav",USA,Men,100m backstroke,M,Gold
Aquatics,Swimming,"VAN DE WEGHE, Albert",USA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"BRIDGES, Alice W.",USA,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"SENFF, Dina Willemina Jacoba",NED,Women,100m backstroke,W,Gold
Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m backstroke,W,Silver
Aquatics,Swimming,"ARAI, Shigeo",JPN,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"CSIK, Ferenc",HUN,Men,100m freestyle,M,Gold
Aquatics,Swimming,"YUSA, Masanori",JPN,Men,100m freestyle,M,Silver
Aquatics,Swimming,"ARENDT-JACOBS, Gisela",GER,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m freestyle,W,Gold
Aquatics,Swimming,"CAMPBELL, Jeanette Morven",ARG,Women,100m freestyle,W,Silver
Aquatics,Swimming,"UTO, Shunpei",JPN,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"TERADA, Noboru",JPN,Men,1500m freestyle,M,Gold
