Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"MENA CAMPOS, Jesus",MEX,Men,10m platform,M,Bronze
Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,10m platform,M,Gold
Aquatics,Diving,"XIONG, Ni",CHN,Men,10m platform,M,Silver
Aquatics,Diving,"WYLAND-WILLIAMS, Wendy Lian",USA,Women,10m platform,W,Bronze
Aquatics,Diving,"XU, Yan-Mei",CHN,Women,10m platform,W,Gold
Aquatics,Diving,"MITCHELL, Michele",USA,Women,10m platform,W,Silver
Aquatics,Diving,"LI, De-Liang",CHN,Men,3m springboard,M,Bronze
Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,3m springboard,M,Gold
Aquatics,Diving,"TAN, Liang-De",CHN,Men,3m springboard,M,Silver
Aquatics,Diving,"MCCORMICK, Kelly Anne",USA,Women,3m springboard,W,Bronze
Aquatics,Diving,"GAO, Min",CHN,Women,3m springboard,W,Gold
Aquatics,Diving,"LI, Qing",CHN,Women,3m springboard,W,Silver
Aquatics,Swimming,"POLYANSKI, Igor",URS,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"SUZUKI, Daichi",JPN,Men,100m backstroke,M,Gold
Aquatics,Swimming,"BERKOFF, David Charles",USA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"SIRCH, Cornelia",GDR,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"OTTO, Kristin",GDR,Women,100m backstroke,W,Gold
Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,100m backstroke,W,Silver
Aquatics,Swimming,"VOLKOV, Dmitri",URS,Men,100m breaststroke,M,Bronze
Aquatics,Swimming,"MOORHOUSE, Adrian David",GBR,Men,100m breaststroke,M,Gold
Aquatics,Swimming,"GUTTLER, Karoly",HUN,Men,100m breaststroke,M,Silver
Aquatics,Swimming,"HÖRNER, Silke",GDR,Women,100m breaststroke,W,Bronze
Aquatics,Swimming,"BOGOMILOVA-DANGALAKOVA, Tania",BUL,Women,100m breaststroke,W,Gold
Aquatics,Swimming,"FRENKEVA, Antoaneta",BUL,Women,100m breaststroke,W,Silver
Aquatics,Swimming,"JAMESON, Andrew Dasvid",GBR,Men,100m butterfly,M,Bronze
Aquatics,Swimming,"NESTY, Anthony Conrad",SUR,Men,100m butterfly,M,Gold
