Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"LI, Kong-Zheng",CHN,Men,10m platform,M,Bronze
Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,10m platform,M,Gold
Aquatics,Diving,"KIMBALL, Bruce D.",USA,Men,10m platform,M,Silver
Aquatics,Diving,"WYLAND-WILLIAMS, Wendy Lian",USA,Women,10m platform,W,Bronze
Aquatics,Diving,"ZHOU, Ji-Hong",CHN,Women,10m platform,W,Gold
Aquatics,Diving,"MITCHELL, Michele",USA,Women,10m platform,W,Silver
Aquatics,Diving,"MERRIOTT, Ronald Marshall",USA,Men,3m springboard,M,Bronze
Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,3m springboard,M,Gold
Aquatics,Diving,"TAN, Liang-De",CHN,Men,3m springboard,M,Silver
Aquatics,Diving,"SEUFERT, Christina",USA,Women,3m springboard,W,Bronze
Aquatics,Diving,"BERNIER, Sylvie",CAN,Women,3m springboard,W,Gold
Aquatics,Diving,"MCCORMICK, Kelly Anne",USA,Women,3m springboard,W,Silver
Aquatics,Swimming,"WEST, Michael",CAN,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"CAREY, Richard John",USA,Men,100m backstroke,M,Gold
Aquatics,Swimming,"WILSON, David Dennis",USA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"DE ROVER, Jolanda",NED,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"ANDREWS, Theresa",USA,Women,100m backstroke,W,Gold
Aquatics,Swimming,"MITCHELL, Elizabeth",USA,Women,100m backstroke,W,Silver
Aquatics,Swimming,"EVANS, Peter",AUS,Men,100m breaststroke,M,Bronze
Aquatics,Swimming,"LUNDQUIST, Steven K.",USA,Men,100m breaststroke,M,Gold
Aquatics,Swimming,"DAVIS, Victor",CAN,Men,100m breaststroke,M,Silver
Aquatics,Swimming,"POIROT, Catherine",FRA,Women,100m breaststroke,W,Bronze
Aquatics,Swimming,"VAN STAVEREN, Petra",NED,Women,100m breaststroke,W,Gold
Aquatics,Swimming,"OTTENBRITE, Anne",CAN,Women,100m breaststroke,W,Silver
Aquatics,Swimming,"BUCHANAN, Glenn",AUS,Men,100m butterfly,M,Bronze
Aquatics,Swimming,"GROSS, Michael",FRG,Men,100m butterfly,M,Gold
Aquatics,Swimming,"MORALES, Pablo",USA,Men,100m butterfly,M,Silver
Aquatics,Swimming,"SEICK, Karin",FRG,Women,100m butterfly,W,Bronze
Aquatics,Swimming,"MEAGHER, Mary T.",USA,Women,100m butterfly,W,Gold
Aquatics,Swimming,"JOHNSON, Jenna Leigh",USA,Women,100m butterfly,W,Silver
Aquatics,Swimming,"JOHANSSON, Per",SWE,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"GAINES, Ambrose Iv",USA,Men,100m freestyle,M,Gold
Aquatics,Swimming,"STOCKWELL, Marcus",AUS,Men,100m freestyle,M,Silver
Aquatics,Swimming,"VERSTAPPEN, Annemarie",NED,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,Women,100m freestyle,W,Gold
Aquatics,Swimming,"STEINSEIFER, Carolyn",USA,Women,100m freestyle,W,Gold
Aquatics,Swimming,"PFEIFFER, Stefan",FRG,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"O'BRIEN, Michael Jon",USA,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"DICARLO, George Thomas",USA,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"HENNING, Cameron",CAN,Men,200m backstroke,M,Bronze
Aquatics,Swimming,"CAREY, Richard John",USA,Men,200m backstroke,M,Gold
Aquatics,Swimming,"DELCOURT, Frederic",FRA,Men,200m backstroke,M,Silver
Aquatics,Swimming,"PATRASCOIU, Aneta",ROU,Women,200m backstroke,W,Bronze
Aquatics,Swimming,"DE ROVER, Jolanda",NED,Women,200m backstroke,W,Gold
Aquatics,Swimming,"WHITE, Amy Lee",USA,Women,200m backstroke,W,Silver
Aquatics,Swimming,"DAGON, Etienne",SUI,Men,200m breaststroke,M,Bronze
Aquatics,Swimming,"DAVIS, Victor",CAN,Men,200m breaststroke,M,Gold
Aquatics,Swimming,"BERINGEN, Glenn",AUS,Men,200m breaststroke,M,Silver
Aquatics,Swimming,"LEMPEREUR, Ingrid",BEL,Women,200m breaststroke,W,Bronze
Aquatics,Swimming,"OTTENBRITE, Anne",CAN,Women,200m breaststroke,W,Gold
Aquatics,Swimming,"RAPP, Susan Gerard",USA,Women,200m breaststroke,W,Silver
Aquatics,Swimming,"VIDAL CASTRO, Rafael Antonio",VEN,Men,200m butterfly,M,Bronze
Aquatics,Swimming,"SIEBEN, Jonathan",AUS,Men,200m butterfly,M,Gold
Aquatics,Swimming,"GROSS, Michael",FRG,Men,200m butterfly,M,Silver
Aquatics,Swimming,"BEYERMANN, Ina",FRG,Women,200m butterfly,W,Bronze
Aquatics,Swimming,"MEAGHER, Mary T.",USA,Women,200m butterfly,W,Gold
Aquatics,Swimming,"PHILLIPS, Karen",AUS,Women,200m butterfly,W,Silver
Aquatics,Swimming,"FAHRNER, Thomas",FRG,Men,200m freestyle,M,Bronze
Aquatics,Swimming,"GROSS, Michael",FRG,Men,200m freestyle,M,Gold
Aquatics,Swimming,"HEATH, Michael Steward",USA,Men,200m freestyle,M,Silver
Aquatics,Swimming,"VERSTAPPEN, Annemarie",NED,Women,200m freestyle,W,Bronze
Aquatics,Swimming,"WAYTE, Mary Alice",USA,Women,200m freestyle,W,Gold
Aquatics,Swimming,"WOODHEAD, Cynthia Lee",USA,Women,200m freestyle,W,Silver
Aquatics,Swimming,"COCHRAN, Neil",GBR,Men,200m individual medley,M,Bronze
Aquatics,Swimming,"BAUMANN, Alexander",CAN,Men,200m individual medley,M,Gold
Aquatics,Swimming,"MORALES, Pablo",USA,Men,200m individual medley,M,Silver
Aquatics,Swimming,"PEARSON, Michelle",AUS,Women,200m individual medley,W,Bronze
Aquatics,Swimming,"CAULKINS, Tracy Anne",USA,Women,200m individual medley,W,Gold
Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,Women,200m individual medley,W,Silver
Aquatics,Swimming,"LEMBERG, Justin",AUS,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"DICARLO, George Thomas",USA,Men,400m freestyle,M,Gold
Aquatics,Swimming,"MYKKANEN, John Cary",USA,Men,400m freestyle,M,Silver
Aquatics,Swimming,"CROFT, June",GBR,Women,400m freestyle,W,Bronze
Aquatics,Swimming,"COHEN, Tiffany Lisa",USA,Women,400m freestyle,W,Gold
Aquatics,Swimming,"HARDCASTLE, Sarah",GBR,Women,400m freestyle,W,Silver
Aquatics,Swimming,"WOODHOUSE, Robert",AUS,Men,400m individual medley,M,Bronze
Aquatics,Swimming,"BAUMANN, Alexander",CAN,Men,400m individual medley,M,Gold
Aquatics,Swimming,"PRADO, Ricardo",BRA,Men,400m individual medley,M,Silver
Aquatics,Swimming,"ZINDLER, Petra",FRG,Women,400m individual medley,W,Bronze
Aquatics,Swimming,"CAULKINS, Tracy Anne",USA,Women,400m individual medley,W,Gold
