Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"WAHLE, Otto",AUT,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"DROST, Johannes",NED,Men,200m backstroke,M,Bronze
Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m backstroke,M,Gold
Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m backstroke,M,Silver
Aquatics,Swimming,"RUBERL, Karl",AUT,Men,200m freestyle,M,Bronze
Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m freestyle,M,Gold
Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,200m freestyle,M,Silver
Aquatics,Swimming,"KEMP, Peter",GBR,Men,200m obstacle event,M,Bronze
Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,M,Gold
Aquatics,Swimming,"WAHLE, Otto",AUT,Men,200m obstacle event,M,Silver
Aquatics,Swimming,HOUBEN,FRA,Men,200m team swimming,M,Bronze
Aquatics,Swimming,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,M,Bronze
Aquatics,Swimming,"MARTIN, Louis",FRA,Men,200m team swimming,M,Bronze
Aquatics,Swimming,"MERCHEZ, Désiré",FRA,Men,200m team swimming,M,Bronze
Aquatics,Swimming,TARTARA,FRA,Men,200m team swimming,M,Bronze
Aquatics,Swimming,"FREY, Julius",GER,Men,200m team swimming,M,Gold
Aquatics,Swimming,"HAINLE, Max",GER,Men,200m team swimming,M,Gold
Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m team swimming,M,Gold
Aquatics,Swimming,"SCHÖNE, Max",GER,Men,200m team swimming,M,Gold
Aquatics,Swimming,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,M,Gold
Aquatics,Swimming,BERTRAND,FRA,Men,200m team swimming,M,Silver
Aquatics,Swimming,CADET,FRA,Men,200m team swimming,M,Silver
Aquatics,Swimming,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,M,Silver
Aquatics,Swimming,"HOCHEPIED, Victor",FRA,Men,200m team swimming,M,Silver
Aquatics,Swimming,VERBECKE,FRA,Men,200m team swimming,M,Silver
Aquatics,Swimming,"MARTIN, Louis",FRA,Men,4000m freestyle,M,Bronze
Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,4000m freestyle,M,Gold
Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,4000m freestyle,M,Silver
Aquatics,Swimming,"LYKKEBERG, Peder",DEN,Men,underwater swimming,M,Bronze
Aquatics,Swimming,"DE VENDEVILLE, Charles",FRA,Men,underwater swimming,M,Gold
Aquatics,Swimming,"SIX, André",FRA,Men,underwater swimming,M,Silver
Aquatics,Water polo,"BURGESS, Thomas",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,COULON,FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"DECUYPER, Alphonse",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,DEVENOT,FRA,Men,water polo,M,Bronze
Aquatics,Water polo,FARDELLE,FRA,Men,water polo,M,Bronze
Aquatics,Water polo,FAVIER,FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"LAUFRAY, Louis",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,LERICHE,FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"MARTIN, Louis",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"MERCHEZ, Désiré",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"PESLIER, Henri",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,PESLOY,FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"TREFFEL, Charles",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"VASSEUR, Paul",FRA,Men,water polo,M,Bronze
Aquatics,Water polo,"COE, Thomas",GBR,Men,water polo,M,Gold
Aquatics,Water polo,"DERBYSHIRE, John Henry",GBR,Men,water polo,M,Gold
Aquatics,Water polo,"KEMP, Peter",GBR,Men,water polo,M,Gold
Aquatics,Water polo,"LISTER, William",GBR,Men,water polo,M,Gold
Aquatics,Water polo,"ROBERTSON, Arthur",GBR,Men,water polo,M,Gold
Aquatics,Water polo,"ROBINSON, Eric",GBR,Men,water polo,M,Gold
Aquatics,Water polo,"WILKINSON, George",GBR,Men,water polo,M,Gold
Aquatics,Water polo,"COHEN, Henri",BEL,Men,water polo,M,Silver
Aquatics,Water polo,"DE BACKER, Jean",BEL,Men,water polo,M,Silver
Aquatics,Water polo,"DE BEHR, Victor",BEL,Men,water polo,M,Silver
Aquatics,Water polo,"FEYAERTS, Fernand",BEL,Men,water polo,M,Silver
Aquatics,Water polo,"GREGOIRE, Oscar",BEL,Men,water polo,M,Silver
Aquatics,Water polo,"MICHANT, Albert",BEL,Men,water polo,M,Silver
Aquatics,Water polo,"SONNEMANS, Victor",BEL,Men,water polo,M,Silver
Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"au chapelet, 33m",M,Bronze
Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au chapelet, 33m",M,Gold
Archery,Archery,"THIBAUD, Victor",FRA,Men,"au chapelet, 33m",M,Silver
Archery,Archery,"MERCIER, Emile",FRA,Men,"au chapelet, 50m",M,Bronze
Archery,Archery,"MOUGIN, Eugène",FRA,Men,"au chapelet, 50m",M,Gold
Archery,Archery,"HELLE, Henri",FRA,Men,"au chapelet, 50m",M,Silver
Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"au cordon doré, 33m",M,Bronze
Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon doré, 33m",M,Gold
Archery,Archery,"THIBAUD, Victor",FRA,Men,"au cordon doré, 33m",M,Silver
Archery,Archery,"FISSEUX, Emile",FRA,Men,"au cordon doré, 50m",M,Bronze
Archery,Archery,"HEROUIN, Henri",FRA,Men,"au cordon doré, 50m",M,Gold
Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon doré, 50m",M,Silver
Archery,Archery,"FOULON, Emmanuel",BEL,Men,sur la perche à la herse,M,Gold
Archery,Archery,"DRUART, Jr.",BEL,Men,sur la perche à la herse,M,Silver
Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche à la herse,M,Silver
Archery,Archery,"GLINEUX, Louis",BEL,Men,sur la perche à la pyramide,M,Bronze
Archery,Archery,"GRUMIAUX, Emile",FRA,Men,sur la perche à la pyramide,M,Gold
Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche à la pyramide,M,Silver
Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,100m,M,Bronze
Athletics,Athletics,"JARVIS, Francis",USA,Men,100m,M,Gold
Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,100m,M,Silver
Athletics,Athletics,"MOLONEY, Frederick",USA,Men,110m hurdles,M,Bronze
Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,110m hurdles,M,Gold
Athletics,Athletics,"MCLEAN, John",USA,Men,110m hurdles,M,Silver
Athletics,Athletics,"BRAY, John",USA,Men,1500m,M,Bronze
Athletics,Athletics,"BENNETT, Charles",GBR,Men,1500m,M,Gold
Athletics,Athletics,"DELOGE, Henri",FRA,Men,1500m,M,Silver
Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,200m,M,Bronze
Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m,M,Gold
Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m,M,Silver
Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m hurdles,M,Bronze
Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,200m hurdles,M,Gold
Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m hurdles,M,Silver
Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,3000m steeplechase,M,Bronze
Athletics,Athletics,"ORTON, George",CAN,Men,3000m steeplechase,M,Gold
Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,3000m steeplechase,M,Silver
Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,4000m steeplechase,M,Bronze
