Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"PINKSTON, Clarence",USA,Men,10m platform,M,Bronze
Aquatics,Diving,"WHITE, Albert",USA,Men,10m platform,M,Gold
Aquatics,Diving,"FALL, David",USA,Men,10m platform,M,Silver
Aquatics,Diving,"TÖPEL, Hjördis",SWE,Women,10m platform,W,Bronze
Aquatics,Diving,"SMITH, Caroline",USA,Women,10m platform,W,Gold
Aquatics,Diving,"BECKER-PINKSTON, Elizabeth",USA,Women,10m platform,W,Silver
Aquatics,Diving,"PINKSTON, Clarence",USA,Men,3m springboard,M,Bronze
Aquatics,Diving,"WHITE, Albert",USA,Men,3m springboard,M,Gold
Aquatics,Diving,"DESJARDINS, Ulise Joseph ""Peter""",USA,Men,3m springboard,M,Silver
Aquatics,Diving,"FLETCHER, Caroline",USA,Women,3m springboard,W,Bronze
Aquatics,Diving,"BECKER-PINKSTON, Elizabeth",USA,Women,3m springboard,W,Gold
Aquatics,Diving,"RIGGIN, Aileen",USA,Women,3m springboard,W,Silver
Aquatics,Diving,"CLARKE, Harold",GBR,Men,plain high diving,M,Bronze
Aquatics,Diving,"EVE, Richmond",AUS,Men,plain high diving,M,Gold
Aquatics,Diving,"JANSSON, John",SWE,Men,plain high diving,M,Silver
Aquatics,Swimming,"BARTHA, István",HUN,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100m backstroke,M,Gold
Aquatics,Swimming,"WYATT, Paul",USA,Men,100m backstroke,M,Silver
Aquatics,Swimming,"RIGGIN, Aileen",USA,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"BAUER, Sybil",USA,Women,100m backstroke,W,Gold
Aquatics,Swimming,"HARDING, Phyllis",GBR,Women,100m backstroke,W,Silver
Aquatics,Swimming,"KAHANAMOKU, Samuel",USA,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"WEISSMULLER, Johnny",USA,Men,100m freestyle,M,Gold
Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Silver
Aquatics,Swimming,"EDERLE, Gertrude",USA,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"LACKIE, Ethel",USA,Women,100m freestyle,W,Gold
Aquatics,Swimming,"WEHSELAU, Mariechen",USA,Women,100m freestyle,W,Silver
