Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"AMBARTSUMYAN, David",URS,Men,10m platform,M,Bronze
Aquatics,Diving,"HOFFMANN, Falk",GDR,Men,10m platform,M,Gold
Aquatics,Diving,"ALEINIK, Vladimir",URS,Men,10m platform,M,Silver
Aquatics,Diving,"TSOTADZE, Liana",URS,Women,10m platform,W,Bronze
Aquatics,Diving,"JÄSCHKE, Martina",GDR,Women,10m platform,W,Gold
Aquatics,Diving,"EMIRZIAN, Servard",URS,Women,10m platform,W,Silver
Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3m springboard,M,Bronze
Aquatics,Diving,"PORTNOV, Aleksandr",URS,Men,3m springboard,M,Gold
Aquatics,Diving,"GIRON, Carlos",MEX,Men,3m springboard,M,Silver
Aquatics,Diving,"GUTHKE, Karin",GDR,Women,3m springboard,W,Bronze
Aquatics,Diving,"KALININA, Irina",URS,Women,3m springboard,W,Gold
Aquatics,Diving,"PROEBER, Martina",GDR,Women,3m springboard,W,Silver
Aquatics,Swimming,"DOLGOV, Vladimir",URS,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"BARON, Bengt",SWE,Men,100m backstroke,M,Gold
Aquatics,Swimming,"KUZNETSOV, Viktor",URS,Men,100m backstroke,M,Silver
Aquatics,Swimming,"RIEDEL, Petra",GDR,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"REINISCH, Rica",GDR,Women,100m backstroke,W,Gold
Aquatics,Swimming,"KLEBER, Ina",GDR,Women,100m backstroke,W,Silver
Aquatics,Swimming,"EVANS, Peter",AUS,Men,100m breaststroke,M,Bronze
Aquatics,Swimming,"GOODHEW, Dunkan",GBR,Men,100m breaststroke,M,Gold
Aquatics,Swimming,"MISKAROV, Arsen",URS,Men,100m breaststroke,M,Silver
Aquatics,Swimming,"NIELSSON, Susanne Schultz",DEN,Women,100m breaststroke,W,Bronze
Aquatics,Swimming,"GEWENIGER, Ute",GDR,Women,100m breaststroke,W,Gold
Aquatics,Swimming,"VASILKOVA, Elvira",URS,Women,100m breaststroke,W,Silver
Aquatics,Swimming,"LOPEZ-ZUBERO PURCELL, David",ESP,Men,100m butterfly,M,Bronze
Aquatics,Swimming,"ARVIDSSON, Pär",SWE,Men,100m butterfly,M,Gold
Aquatics,Swimming,"PYTTEL, Roger",GDR,Men,100m butterfly,M,Silver
Aquatics,Swimming,"KNACKE, Christiane",GDR,Women,100m butterfly,W,Bronze
Aquatics,Swimming,"METSCHUCK, Caren",GDR,Women,100m butterfly,W,Gold
Aquatics,Swimming,"POLLACK, Andrea",GDR,Women,100m butterfly,W,Silver
Aquatics,Swimming,"JOHANSSON, Per",SWE,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"WOITHE, Jörg",GDR,Men,100m freestyle,M,Gold
Aquatics,Swimming,"HOLMERTZ, Per",SWE,Men,100m freestyle,M,Silver
Aquatics,Swimming,"DIERS, Ines",GDR,Women,100m freestyle,W,Bronze
Aquatics,Swimming,"KRAUSE, Barbara",GDR,Women,100m freestyle,W,Gold
Aquatics,Swimming,"METSCHUCK, Caren",GDR,Women,100m freestyle,W,Silver
Aquatics,Swimming,"METZKER, Maxwell",AUS,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"SALNIKOV, Vladimir",URS,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"CHAEV, Aleksandr",URS,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"KERRY, Mark",AUS,Men,200m backstroke,M,Bronze
Aquatics,Swimming,"WLADAR, Sandor",HUN,Men,200m backstroke,M,Gold
Aquatics,Swimming,"VERRASZTO, Zoltan",HUN,Men,200m backstroke,M,Silver
Aquatics,Swimming,"TREIBER, Birgit",GDR,Women,200m backstroke,W,Bronze
Aquatics,Swimming,"REINISCH, Rica",GDR,Women,200m backstroke,W,Gold
Aquatics,Swimming,"POLIT, Cornelia",GDR,Women,200m backstroke,W,Silver
Aquatics,Swimming,"MISKAROV, Arsen",URS,Men,200m breaststroke,M,Bronze
Aquatics,Swimming,"ZHULPA, Robertas",URS,Men,200m breaststroke,M,Gold
Aquatics,Swimming,"VERMES, Alban",HUN,Men,200m breaststroke,M,Silver
Aquatics,Swimming,"BOGDANOVA, Yulia",URS,Women,200m breaststroke,W,Bronze
Aquatics,Swimming,"KACHUSHITE, Lina",URS,Women,200m breaststroke,W,Gold
Aquatics,Swimming,"VARGANOVA, Svetlana",URS,Women,200m breaststroke,W,Silver
Aquatics,Swimming,"PYTTEL, Roger",GDR,Men,200m butterfly,M,Bronze
Aquatics,Swimming,"FESENKO, Sergei",URS,Men,200m butterfly,M,Gold
Aquatics,Swimming,"HUBBLE, Philip",GBR,Men,200m butterfly,M,Silver
Aquatics,Swimming,"FORD, Michelle",AUS,Women,200m butterfly,W,Bronze
Aquatics,Swimming,"GEISSLER, Ines",GDR,Women,200m butterfly,W,Gold
Aquatics,Swimming,"SCHÖNROCK, Sybille",GDR,Women,200m butterfly,W,Silver
Aquatics,Swimming,"BREWER, Graeme",AUS,Men,200m freestyle,M,Bronze
Aquatics,Swimming,"KOPLYAKOV, Sergei",URS,Men,200m freestyle,M,Gold
Aquatics,Swimming,"KRYLOV, Andrei",URS,Men,200m freestyle,M,Silver
Aquatics,Swimming,"SCHMIDT, Carmela",GDR,Women,200m freestyle,W,Bronze
Aquatics,Swimming,"KRAUSE, Barbara",GDR,Women,200m freestyle,W,Gold
Aquatics,Swimming,"DIERS, Ines",GDR,Women,200m freestyle,W,Silver
Aquatics,Swimming,"STUKOLKIN, Ivar",URS,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"SALNIKOV, Vladimir",URS,Men,400m freestyle,M,Gold
Aquatics,Swimming,"KRYLOV, Andrei",URS,Men,400m freestyle,M,Silver
Aquatics,Swimming,"SCHMIDT, Carmela",GDR,Women,400m freestyle,W,Bronze
Aquatics,Swimming,"DIERS, Ines",GDR,Women,400m freestyle,W,Gold
Aquatics,Swimming,"SCHNEIDER, Petra",GDR,Women,400m freestyle,W,Silver
Aquatics,Swimming,"VERRASZTO, Zoltan",HUN,Men,400m individual medley,M,Bronze
Aquatics,Swimming,"SIDORENKO, Aleksandr",URS,Men,400m individual medley,M,Gold
Aquatics,Swimming,"FESENKO, Sergei",URS,Men,400m individual medley,M,Silver
Aquatics,Swimming,"CZOPEK, Agnieszka",POL,Women,400m individual medley,W,Bronze
Aquatics,Swimming,"SCHNEIDER, Petra",GDR,Women,400m individual medley,W,Gold
Aquatics,Swimming,"DAVIES, Sharron Elizabeth",GBR,Women,400m individual medley,W,Silver
