Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"GALPERIN, Gleb",RUS,Men,10m platform,M,Bronze
Aquatics,Diving,"MITCHAM, Matthew",AUS,Men,10m platform,M,Gold
Aquatics,Diving,"ZHOU, Luxin",CHN,Men,10m platform,M,Silver
Aquatics,Diving,"WANG, Xin",CHN,Women,10m platform,W,Bronze
Aquatics,Diving,"CHEN, Ruolin",CHN,Women,10m platform,W,Gold
Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,10m platform,W,Silver
Aquatics,Diving,"QIN, Kai",CHN,Men,3m springboard,M,Bronze
Aquatics,Diving,"HE, Chong",CHN,Men,3m springboard,M,Gold
Aquatics,Diving,"DESPATIE, Alexandre",CAN,Men,3m springboard,M,Silver
Aquatics,Diving,"WU, Minxia",CHN,Women,3m springboard,W,Bronze
Aquatics,Diving,"GUO, Jingjing",CHN,Women,3m springboard,W,Gold
Aquatics,Diving,"PAKHALINA, Julia",RUS,Women,3m springboard,W,Silver
Aquatics,Diving,"DOBROSKOK, Dmitriy",RUS,Men,synchronized diving 10m platform,M,Bronze
Aquatics,Diving,"GALPERIN, Gleb",RUS,Men,synchronized diving 10m platform,M,Bronze
Aquatics,Diving,"HUO, Liang",CHN,Men,synchronized diving 10m platform,M,Gold
Aquatics,Diving,"LIN, Yue",CHN,Men,synchronized diving 10m platform,M,Gold
Aquatics,Diving,"HAUSDING, Patrick",GER,Men,synchronized diving 10m platform,M,Silver
Aquatics,Diving,"KLEIN, Sascha",GER,Men,synchronized diving 10m platform,M,Silver
Aquatics,Diving,"ESPINOSA, Paola",MEX,Women,synchronized diving 10m platform,W,Bronze
Aquatics,Diving,"ORTIZ, Tatiana",MEX,Women,synchronized diving 10m platform,W,Bronze
Aquatics,Diving,"CHEN, Ruolin",CHN,Women,synchronized diving 10m platform,W,Gold
Aquatics,Diving,"WANG, Xin",CHN,Women,synchronized diving 10m platform,W,Gold
Aquatics,Diving,"COLE, Briony",AUS,Women,synchronized diving 10m platform,W,Silver
Aquatics,Diving,"WU, Melissa",AUS,Women,synchronized diving 10m platform,W,Silver
Aquatics,Diving,"KVASHA, Illya",UKR,Men,synchronized diving 3m springboard,M,Bronze
Aquatics,Diving,"PRYGOROV, Oleksiy",UKR,Men,synchronized diving 3m springboard,M,Bronze
Aquatics,Diving,"QIN, Kai",CHN,Men,synchronized diving 3m springboard,M,Gold
Aquatics,Diving,"WANG, Feng",CHN,Men,synchronized diving 3m springboard,M,Gold
Aquatics,Diving,"KUNAKOV, Yuriy",RUS,Men,synchronized diving 3m springboard,M,Silver
Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,synchronized diving 3m springboard,M,Silver
Aquatics,Diving,"FISCHER, Heike",GER,Women,synchronized diving 3m springboard,W,Bronze
Aquatics,Diving,"KOTZIAN, Ditte",GER,Women,synchronized diving 3m springboard,W,Bronze
Aquatics,Diving,"GUO, Jingjing",CHN,Women,synchronized diving 3m springboard,W,Gold
Aquatics,Diving,"WU, Minxia",CHN,Women,synchronized diving 3m springboard,W,Gold
Aquatics,Diving,"PAKHALINA, Julia",RUS,Women,synchronized diving 3m springboard,W,Silver
Aquatics,Diving,"POZDNYAKOVA, Anastasia",RUS,Women,synchronized diving 3m springboard,W,Silver
Aquatics,Swimming,"STOECKEL, Hayden",AUS,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"VYATCHANIN, Arkady",RUS,Men,100m backstroke,M,Bronze
