Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"TIAN, Liang",CHN,Men,10m platform,M,Bronze
Aquatics,Diving,"HU, Jia",CHN,Men,10m platform,M,Gold
Aquatics,Diving,"HELM, Mathew",AUS,Men,10m platform,M,Silver
Aquatics,Diving,"TOURKY, Loudy",AUS,Women,10m platform,W,Bronze
Aquatics,Diving,"NEWBERY, Chantelle",AUS,Women,10m platform,W,Gold
Aquatics,Diving,"LAO, Lishi",CHN,Women,10m platform,W,Silver
Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,3m springboard,M,Bronze
Aquatics,Diving,"PENG, Bo",CHN,Men,3m springboard,M,Gold
Aquatics,Diving,"DESPATIE, Alexandre",CAN,Men,3m springboard,M,Silver
Aquatics,Diving,"PAKHALINA, Ioulia",RUS,Women,3m springboard,W,Bronze
Aquatics,Diving,"GUO, Jingjing",CHN,Women,3m springboard,W,Gold
Aquatics,Diving,"WU, Minxia",CHN,Women,3m springboard,W,Silver
Aquatics,Diving,"HELM, Mathew",AUS,Men,synchronized diving 10m platform,M,Bronze
Aquatics,Diving,"NEWBERY, Robert",AUS,Men,synchronized diving 10m platform,M,Bronze
Aquatics,Diving,"TIAN, Liang",CHN,Men,synchronized diving 10m platform,M,Gold
Aquatics,Diving,"YANG, Jinghui",CHN,Men,synchronized diving 10m platform,M,Gold
Aquatics,Diving,"TAYLOR, Leon",GBR,Men,synchronized diving 10m platform,M,Silver
Aquatics,Diving,"WATERFIELD, Peter",GBR,Men,synchronized diving 10m platform,M,Silver
Aquatics,Diving,"HARTLEY, Blythe",CAN,Women,synchronized diving 10m platform,W,Bronze
Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,synchronized diving 10m platform,W,Bronze
Aquatics,Diving,"LAO, Lishi",CHN,Women,synchronized diving 10m platform,W,Gold
Aquatics,Diving,"LI, Ting",CHN,Women,synchronized diving 10m platform,W,Gold
Aquatics,Diving,"GONCHAROVA, Natalia",RUS,Women,synchronized diving 10m platform,W,Silver
Aquatics,Diving,"KOLTUNOVA, Yulia",RUS,Women,synchronized diving 10m platform,W,Silver
Aquatics,Diving,"BARNETT, Steven",AUS,Men,synchronized diving 3m springboard,M,Bronze
Aquatics,Diving,"NEWBERY, Robert",AUS,Men,synchronized diving 3m springboard,M,Bronze
Aquatics,Diving,"BIMIS, Thomas",GRE,Men,synchronized diving 3m springboard,M,Gold
Aquatics,Diving,"SIRANIDIS, Nikolaos",GRE,Men,synchronized diving 3m springboard,M,Gold
Aquatics,Diving,"SCHELLENBERG, Tobias",GER,Men,synchronized diving 3m springboard,M,Silver
Aquatics,Diving,"WELS, Andreas",GER,Men,synchronized diving 3m springboard,M,Silver
Aquatics,Diving,"LASHKO, Irina",AUS,Women,synchronized diving 3m springboard,W,Bronze
Aquatics,Diving,"NEWBERY, Chantelle",AUS,Women,synchronized diving 3m springboard,W,Bronze
Aquatics,Diving,"GUO, Jingjing",CHN,Women,synchronized diving 3m springboard,W,Gold
Aquatics,Diving,"WU, Minxia",CHN,Women,synchronized diving 3m springboard,W,Gold
Aquatics,Diving,"ILYINA, Vera",RUS,Women,synchronized diving 3m springboard,W,Silver
Aquatics,Diving,"PAKHALINA, Ioulia",RUS,Women,synchronized diving 3m springboard,W,Silver
Aquatics,Swimming,"MORITA, Tomomi",JPN,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"PEIRSOL, Aaron",USA,Men,100m backstroke,M,Gold
Aquatics,Swimming,"ROGAN, Markus",AUT,Men,100m backstroke,M,Silver
Aquatics,Swimming,"MANAUDOU, Laure",FRA,Women,100m backstroke,W,Bronze
Aquatics,Swimming,"COUGHLIN, Natalie",USA,Women,100m backstroke,W,Gold
Aquatics,Swimming,"COVENTRY, Kirsty",ZIM,Women,100m backstroke,W,Silver
Aquatics,Swimming,"DUBOSCQ, Hugues",FRA,Men,100m breaststroke,M,Bronze
Aquatics,Swimming,"KITAJIMA, Kosuke",JPN,Men,100m breaststroke,M,Gold
