Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Aquatics,Diving,"BRAUNSCHWEIGER, Alfred",GER,Men,10m platform,M,Bronze
Aquatics,Diving,"KEHOE, Frank",USA,Men,10m platform,M,Bronze
Aquatics,Diving,"SHELDON, George",USA,Men,10m platform,M,Gold
Aquatics,Diving,"HOFFMANN, Georg",GER,Men,10m platform,M,Silver
Aquatics,Diving,"GOODWIN, Leo Budd",USA,Men,plunge for distance,M,Bronze
Aquatics,Diving,"DICKEY, William Paul",USA,Men,plunge for distance,M,Gold
Aquatics,Diving,"ADAMS, Edgar H.",USA,Men,plunge for distance,M,Silver
Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,100m backstroke,M,Bronze
Aquatics,Swimming,"BRACK, Walter",GER,Men,100m backstroke,M,Gold
Aquatics,Swimming,"HOFFMANN, Georg",GER,Men,100m backstroke,M,Silver
Aquatics,Swimming,"LEARY, J. Scott",USA,Men,100m freestyle,M,Bronze
Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,100m freestyle,M,Gold
Aquatics,Swimming,"DANIELS, Charles",USA,Men,100m freestyle,M,Silver
Aquatics,Swimming,"GAILEY, Francis",USA,Men,1500m freestyle,M,Bronze
Aquatics,Swimming,"RAUSCH, Emil",GER,Men,1500m freestyle,M,Gold
Aquatics,Swimming,"KISS, Geza",HUN,Men,1500m freestyle,M,Silver
Aquatics,Swimming,"RAUSCH, Emil",GER,Men,200m freestyle,M,Bronze
Aquatics,Swimming,"DANIELS, Charles",USA,Men,200m freestyle,M,Gold
Aquatics,Swimming,"GAILEY, Francis",USA,Men,200m freestyle,M,Silver
Aquatics,Swimming,"HANDY, Hehry Jamison",USA,Men,400m breaststroke,M,Bronze
Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,400m breaststroke,M,Gold
Aquatics,Swimming,"BRACK, Walter",GER,Men,400m breaststroke,M,Silver
Aquatics,Swimming,"WAHLE, Otto",AUT,Men,400m freestyle,M,Bronze
Aquatics,Swimming,"DANIELS, Charles",USA,Men,400m freestyle,M,Gold
Aquatics,Swimming,"GAILEY, Francis",USA,Men,400m freestyle,M,Silver
Aquatics,Swimming,"EVANS, Gwynne",USA,Men,4x50y freestyle relay,M,Bronze
Aquatics,Swimming,"ORTHWEIN, William Robert",USA,Men,4x50y freestyle relay,M,Bronze
Aquatics,Swimming,"REYBURN, Amadee",USA,Men,4x50y freestyle relay,M,Bronze
Aquatics,Swimming,"SCHWARTZ, Marquard",USA,Men,4x50y freestyle relay,M,Bronze
Aquatics,Swimming,"DANIELS, Charles",USA,Men,4x50y freestyle relay,M,Gold
Aquatics,Swimming,"GOODWIN, Leo Budd",USA,Men,4x50y freestyle relay,M,Gold
Aquatics,Swimming,"HANDLEY, Louis De Breda",USA,Men,4x50y freestyle relay,M,Gold
Aquatics,Swimming,"RUDDY, Joseph A.",USA,Men,4x50y freestyle relay,M,Gold
Aquatics,Swimming,"GOETZ, Hugo",USA,Men,4x50y freestyle relay,M,Silver
Aquatics,Swimming,"HAMMOND, David",USA,Men,4x50y freestyle relay,M,Silver
Aquatics,Swimming,"THORNE, Raymond",USA,Men,4x50y freestyle relay,M,Silver
Aquatics,Swimming,"TUTTLE, William",USA,Men,4x50y freestyle relay,M,Silver
Aquatics,Swimming,"DANIELS, Charles",USA,Men,50y freestyle (45.72m),M,Bronze
Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,50y freestyle (45.72m),M,Gold
Aquatics,Swimming,"LEARY, J. Scott",USA,Men,50y freestyle (45.72m),M,Silver
Aquatics,Swimming,"KISS, Geza",HUN,Men,880y freestyle (804.66m),M,Bronze
Aquatics,Swimming,"RAUSCH, Emil",GER,Men,880y freestyle (804.66m),M,Gold
Aquatics,Swimming,"GAILEY, Francis",USA,Men,880y freestyle (804.66m),M,Silver
Archery,Archery,"THOMPSON, William Henry",USA,Men,double american round (60y - 50y - 40y),M,Bronze
Archery,Archery,"BRYANT, George Philipp",USA,Men,double american round (60y - 50y - 40y),M,Gold
Archery,Archery,"WILLIAMS, Robert",USA,Men,double american round (60y - 50y - 40y),M,Silver
Archery,Archery,"POLLOCK, Jessie",USA,Women,double columbia round (50y - 40y - 30y),W,Bronze
Archery,Archery,"HOWELL, Matilda Scott",USA,Women,double columbia round (50y - 40y - 30y),W,Gold
Archery,Archery,"COOKE, Emma C.",USA,Women,double columbia round (50y - 40y - 30y),W,Silver
Archery,Archery,"POLLOCK, Jessie",USA,Women,double national round (60y - 50y),W,Bronze
